#
# Register file for Tristar
# Incomplete
#
r,8,adc_vb_f,Battery voltage-filtered,V,n96_667,RO,
r,9,adc_vs_f,Battery sense voltage-filtered,V,n96_667,RO,
r,10,adc_vx_f,Array/Load-filtered,V,n139_15,RO,
r,11,adc_ipv_f,Charge current-filtered,A,n66_667,RO,
r,12,adc_iload_f,Load current-filtered,A,n316_667,RO,
r,13,Vb_f,Battery voltage-slow,V,n96_667,RO,
r,14,T_hs,Heatsink temp,C,int,RO,
r,15,T_batt,RTS battery temp,C,int,RO,
r,16,V_ref,Charge reg ref voltage,V,n96_667,RO,
r,17,Ah_r,AH resettable,Ah,dn10,RO,
r,19,Ah_t,AH total,Ah,dn10,RO,
r,21,hourmeter,Hourmeter,h,dint,RO,
r,23,Alarm_LO,Alarm bitfield low,-,bitf,RO,
r,24,fault,Fault bitfield,-,bitf,RO,
r,25,dip_switch,DIP switch,-,bitf,RO,
r,26,control_mode,Control mode,-,int,RO,
r,27,control_state,Control state,-,int,RO,
r,28,d_filt,PWM duty cycle,%,int,RO,
r,29,Alarm_HI,Alarm  bitfield hi,-,int,RO,
r,57344,EV_reg,Regulation Voltage @ 25ºC,V,n96_667,RW,
r,57345,EV_float,Float Voltage @ 25ºC (Set to zero to disable float),V,n96_667,RW,
r,57346,Et_float,Time Before Entering Float (Absorption Time),secs,uint,RW,
r,57347,Et_floatlb,Time Before Entering Float due to Low Battery (Absorption Extension Time),secs,uint,RW,
r,57348,EV_floatlb_trip,Voltage Trigger for Low Battery Float Time,V,n96_667,RW,
r,57349,EV_float_cancel,Voltage to Cancel Float,V,n96_667,RW,
r,57350,EV_eq,Equalize Voltage @ 25ºC (Set to zero to disable equalize),V,n96_667,RW,
r,57351,Et_eqcalendar,Days Between EQ Cycles,days,uint,RW,
r,57352,Et_eq_above,Equalize Time Limit above EV_reg,secs,uint,RW,
r,57353,Et_eq_reg,Equalize Time Limit at EV_eq,secs,uint,RW,
r,57354,EV_tempcomp,Tempcomp,V,n96_16,RW,
r,57355,EV_hvd,HV disconnect (0 disable),V,n96_667,RW,
r,57356,EV_hvr,HV reconnect,V,n96_667,RW,
r,57357,Etmr_eqcalendar,Days since equalize,d,uint,RW,
r,57358,Et_float_exit_cum,Cum. time at 100% duty - exit float,s,uint,RW,
r,57359,EV_lvd,Low voltage disconnect,V,n96_667,RW,
r,57360,EV_lvr,Low voltage reconnect,V,n96_667,RW,
r,57361,EV_lhvd,Load high voltage disconnect (0 disable),V,n96_667,RW,
r,57362,EV_lhvr,Low voltage reconnect,V,n96_667,RW,
# Done to here

r,57409,Ed_float_enter,Duty cycle to begin float transition counter,%,uint,RW,
r,57410,Eb_diversion_pwm,Diversion regulation type,-,uint,RW,


#
# Coils for Tristar
#
c,0,EqTrig,Equalize triggered,
c,1,LoadDis,Load disconnect if 1,
c,2,ChargeDis,Charge disconnect if 1,
c,16,ClrAhReset,Clear Ah Resettable,
c,17,ClrAhTotal,Clear Ah Total,
c,18,ClrKwhReset,Clear kWh Resettable,
c,20,ClrFaults,Clear Faults,
c,21,ClrAlarms,Clear Alarms,
c,22,EEUpdate,Force EEPROM update,
c,24,ClrKwhTotal,Clear kWh Total,
c,25,ClrVb,Clear Battery Voltage min/max,
c,26,LightTest,Lighting mode test - 10 minutes,
c,254,FacReset,Factory Reset,
c,255,Reset,Reset controller,

#
# Alarms for Prostar MPPT
#
m,0,RTS Open,
m,1,RTS Short,
m,2,RTS Disconnected,
m,3,Ths Open,
m,4,Ths Short,
m,5,Heatsink Hot,
m,6,Tind Open,
m,7,Tind Short,
m,8,Tind Hot,
m,9,Current Limit,
m,10,I Offset,
m,11,Battery Sense Out of Range,
m,12,Battery Sense Disconnected,
m,13,Uncalibrated,
m,14,TB 5V,
m,15,FP10 Supply Out of Range,
m,17,FET Open,
m,18,IA Offset,
m,19,IL Offset,
m,20,3V Supply Out of Range,
m,21,12V Supply Out of Range,
m,22,VA High,
m,23,Controller Reset,
m,24,LVD,
m,25,Log Timeout,
m,26,EEPROM Access Failure,

#
# Load alarms for Prostar MPPT
#
l,0,External Short Circuit,
l,1,Overcurrent,
l,2,FET Shorted,
l,3,Software Bug,
l,4,HVD,
l,5,Heatsink Hot,
l,6,DIP Switch Changed,
l,7,EEPROM Setting Changed,

#
# Array faults for Prostar MPPT
#
y,0,Overcurrent Phase 1,
y,1,FET Shorted,
y,2,Software Bug,
y,3,Battery HVD,
y,4,Array HVD,
y,5,EEPROM Setting Changed,
y,6,RTS Shorted,
y,7,RTS was disconnected,
y,8,Local temp sensor failure,
y,9,Battery LVD,
y,10,Slave Control Timeout,
y,11,DIP Switch Changed,
\\ end of file
